Pej_ID	ESN_ID	Symbol
1	5LTR	5LTR
2	ASP	ASP
3	ENSG00000000419	DPM1
4	ENSG00000000457	SCYL3
5	ENSG00000000460	C1orf112
6	ENSG00000000938	FGR
7	ENSG00000001036	FUCA2
8	ENSG00000001084	GCLC
9	ENSG00000001167	NFYA
10	ENSG00000001497	LAS1L
11	ENSG00000001561	ENPP4
12	ENSG00000001626	CFTR
13	ENSG00000001629	ANKIB1
14	ENSG00000001631	KRIT1
15	ENSG00000002549	LAP3
16	ENSG00000002586	CD99
17	ENSG00000002822	MAD1L1
18	ENSG00000002834	LASP1
19	ENSG00000002919	SNX11
20	ENSG00000003056	M6PR
21	ENSG00000003137	CYP26B1
22	ENSG00000003147	ICA1
23	ENSG00000003393	ALS2
24	ENSG00000003402	CFLAR
25	ENSG00000003436	TFPI
26	ENSG00000003509	C2orf56
27	ENSG00000003756	RBM5
28	ENSG00000004059	ARF5
29	ENSG00000004139	SARM1
30	ENSG00000004142	POLDIP2
31	ENSG00000004399	PLXND1
32	ENSG00000004455	AK2
33	ENSG00000004468	CD38
34	ENSG00000004478	FKBP4
35	ENSG00000004487	KDM1A
36	ENSG00000004534	RBM6
37	ENSG00000004660	CAMKK1
38	ENSG00000004700	RECQL
39	ENSG00000004766	CCDC132
40	ENSG00000004777	ARHGAP33
41	ENSG00000004864	SLC25A13
42	ENSG00000004866	ST7
43	ENSG00000004897	CDC27
44	ENSG00000004975	DVL2
45	ENSG00000005007	UPF1
46	ENSG00000005022	SLC25A5
47	ENSG00000005059	CCDC109B
48	ENSG00000005075	POLR2J
49	ENSG00000005100	DHX33
50	ENSG00000005156	LIG3
51	ENSG00000005175	RPAP3
52	ENSG00000005189	AC004381.6
53	ENSG00000005194	CIAPIN1
54	ENSG00000005302	MSL3
55	ENSG00000005339	CREBBP
56	ENSG00000005379	BZRAP1
57	ENSG00000005436	C2orf3
58	ENSG00000005469	CROT
59	ENSG00000005483	MLL5
60	ENSG00000005486	RHBDD2
